catalog,vizier_source,vizier_table,recno,XMMXCS,Name,RAJ2000,DEJ2000,Counts,z,r_z,n_z,TX,e_TX,E_TX,OName,n_zoo,zoo,L500,e_L500,E_L500,R500,e_R500,E_R500,L200,e_L200,E_L200,R200,e_R200,E_R200,Simbad,RA_deg,Dec_deg
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,366,J132458.2+300723.2,J1324.9+3007,201.2425,30.123111,332.0,0.59,DR7,phot,2.9,0.7,1.1,,DR7,s,0.342,0.062,0.051,448,68,91,0.516,0.1,0.087,679,104,139,Simbad,201.2425,30.123111
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,367,J132501.5-381323.6,J1325.0-3813,201.25625,-38.223222,2468.5,0.3,Lit,spec,2.9,0.3,0.4,RX J1325.0-3814,NXS,g,0.82,0.114,0.083,607,39,51,1.191,0.209,0.153,921,59,78,Simbad,201.25625,-38.223222
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,368,J132830.2+470357.2,J1328.5+4703,202.125833,47.065889,177.9,0.38,DR7,phot,4.1,1.4,4.3,,DR7,s,1.157,0.467,0.603,681,140,348,1.171,0.471,0.606,1033,212,528,Simbad,202.125833,47.065889
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,369,J132958.9+241124.6,J1329.9+2411,202.495417,24.190167,126.4,0.17,LRG,spec,2.3,1.1,2.3,,DR7,s,0.035,0.035,0.027,612,179,307,0.043,0.043,0.042,928,272,466,Simbad,202.495417,24.190167
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,370,J133107.1-015837.4,J1331.1-0158,202.779583,-1.977056,161.7,0.2,LRG,spec,2.3,0.5,1.3,,DR7,s,0.085,1e+20,1e+20,595,81,174,0.081,1e+20,1e+20,595,81,174,Simbad,202.779583,-1.977056
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,371,J133254.8+503153.1,J1332.9+5031,203.228333,50.531417,2596.4,0.28,Lit,spec,7.7,0.4,0.3,RBS 1283,DR7,g,11.774,3.004,0.325,1092,28,27,12.456,3.663,0.366,1656,43,41,Simbad,203.228333,50.531417
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,372,J133439.5+504327.1,J1334.6+5043,203.664583,50.724194,279.8,0.24,DR7,phot,1e+20,1e+20,1e+20,MaxBCG J203.66157+50.72443,DR7,s,1e+20,1e+20,1e+20,999999,16959,999999,1e+20,1e+20,1e+20,999999,16959,999999,Simbad,203.664583,50.724194
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,373,J133457.7+375020.3,J1334.9+3750,203.740417,37.838972,689.5,0.38,Lit,spec,1e+20,1e+20,1e+20,NSCS J133503+374945,DR7,s,1e+20,1e+20,1e+20,999999,16959,999999,1e+20,1e+20,1e+20,999999,16959,999999,Simbad,203.740417,37.838972
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,374,J133505.3+502336.3,J1335.0+5023,203.772083,50.393417,688.3,0.09,LRG,spec,1.3,0.1,0.1,,DR7,s,0.092,0.07,0.041,474,28,19,0.157,0.128,0.096,719,43,29,Simbad,203.772083,50.393417
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,375,J133511.5-232917.2,J1335.1-2329,203.797917,-23.488111,669.1,0.1,NXS,phot,1.9,0.2,0.3,,NXS,s,0.245,0.175,0.687,583,41,43,0.329,0.259,1.258,884,63,66,Simbad,203.797917,-23.488111
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,376,J133514.1+374905.8,J1335.2+3749,203.80875,37.818278,293.5,0.6,Lit,spec,3.9,0.7,0.8,MJM98 034,DR7,s,0.665,0.086,0.242,519,54,57,0.685,0.103,0.223,787,81,86,Simbad,203.80875,37.818278
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,377,J133559.1+375400.8,J1335.9+3754,203.99625,37.900222,101.3,0.25,LRG,spec,4.7,1.6,7.3,,DR7,s,0.07,0.064,0.074,847,179,598,0.075,0.069,0.096,1285,271,907,Simbad,203.99625,37.900222
