catalog,vizier_source,vizier_table,recno,MOO2,m_MOO2,RAJ2000,DEJ2000,zphot,e_zphot,S_N,S_N-G,Name-fg,zspec,r_zspec,LitName,r_LitName,SimbadName,NED,RA_deg,Dec_deg
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19586,J22100+00599,,332.516,1.0,0.435,0.042,6.7,7.9,,1e+20,,,,,NED,332.5159912109375,1.0
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19587,J22100-04459,,332.52,-4.766,0.89,0.055,5.6,6.6,,1e+20,,,,,NED,332.5199890136719,-4.765999794006348
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19588,J22101+00060,,332.526,0.1,0.78,0.052,5.6,6.7,,1e+20,,HSCJ221007+000638,14,HSCS J221007+000638,NED,332.5260009765625,0.10000000149011612
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19589,J22101-00100,,332.539,-0.167,0.645,0.048,5.5,6.4,,1e+20,,HSCJ221004-001126,14,HSCS J221004-001126,NED,332.53900146484375,-0.16699999570846558
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19590,J22101+00543,,332.542,0.906,0.755,0.051,5.1,5.9,,1e+20,,,,,NED,332.5419921875,0.906000018119812
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19591,J22102-01231,,332.549,-1.386,0.67,0.048,6.4,7.6,,1e+20,,,,,NED,332.54901123046875,-1.3860000371932983
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19592,J22102+00587,,332.549,0.98,0.845,0.054,6.0,7.2,,0.84,14,HSCJ221011+005823,14,HSCS J221011+005823,NED,332.54901123046875,0.9800000190734863
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19593,J22102-00223,,332.549,-0.373,0.87,0.054,5.2,6.0,,1e+20,,,,,NED,332.54901123046875,-0.37299999594688416
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19594,J22102+04515,,332.55,4.859,0.57,0.046,9.7,12.6,,0.595,2,ACT-CL J2210.1+0451,"2,14",ACT-CL J2210.1+0451,NED,332.54998779296875,4.859000205993652
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19595,J22102+01325,,332.552,1.543,0.78,0.052,5.2,6.0,,1e+20,,,,,NED,332.552001953125,1.5429999828338623
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19596,J22102+04055,,332.553,4.092,0.98,0.057,6.1,7.4,,1e+20,,,,,NED,332.5530090332031,4.0920000076293945
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19597,J22102-02289,,332.557,-2.482,0.46,0.042,7.2,8.7,,1e+20,,RMJ221012.9-022842.9,12,[RRB2014] RM J221012.9-022842.9,NED,332.5570068359375,-2.4820001125335693
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19598,J22102+03247,,332.558,3.412,1.02,0.059,6.6,8.1,,1e+20,,HSCJ221014+032419,14,HSCS J221014+032419,NED,332.5580139160156,3.4119999408721924
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19599,J22102+03353,,332.568,3.589,0.94,0.056,6.0,7.2,,1e+20,,HSCJ221020+033519,14,HSCS J221020+033519,NED,332.5679931640625,3.5889999866485596
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19600,J22103+02003,,332.585,2.006,1.395,0.069,5.5,6.8,,1e+20,,,,,NED,332.5849914550781,2.00600004196167
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19601,J22103+03513,,332.594,3.856,1.08,0.06,7.7,9.9,,1e+20,,HSCJ221023+035120,14,HSCS J221023+035120,NED,332.593994140625,3.8559999465942383
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19602,J22103+02037,,332.598,2.063,0.71,0.05,8.7,10.9,,1e+20,,,,,NED,332.5979919433594,2.062999963760376
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19603,J22104+03345,,332.601,3.576,0.97,0.057,6.0,7.2,,1e+20,,,,,NED,332.60101318359375,3.5759999752044678
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19604,J22104+01159,,332.609,1.266,0.95,0.057,5.6,6.7,,1e+20,,,,,NED,332.6090087890625,1.2660000324249268
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19605,J22105+04173,,332.629,4.289,1.81,0.081,5.5,7.2,,1e+20,,,,,NED,332.6289978027344,4.289000034332275
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19606,J22105+00447,,332.633,0.746,1.3,0.067,5.9,7.3,,1e+20,,,,,NED,332.63299560546875,0.7459999918937683
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19607,J22105+00337,,332.633,0.563,0.18,0.034,5.8,6.4,,1e+20,,,,,NED,332.63299560546875,0.5630000233650208
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19608,J22106-02577,,332.673,-2.962,0.48,0.043,5.9,7.0,,1e+20,,,,,NED,332.6730041503906,-2.9619998931884766
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19609,J22107+01275,,332.675,1.459,0.67,0.048,6.3,7.6,,1e+20,,,,,NED,332.67498779296875,1.4589999914169312
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19610,J22107-04333,,332.682,-4.556,0.85,0.054,5.1,6.0,,1e+20,,,,,NED,332.6820068359375,-4.556000232696533
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19611,J22107+00221,,332.686,0.37,1.16,0.063,5.0,6.0,,1e+20,,,,,NED,332.6860046386719,0.3700000047683716
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19612,J22107-02329,,332.69,-2.549,0.65,0.048,5.0,5.8,,1e+20,,,,,NED,332.69000244140625,-2.5490000247955322
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19613,J22107-02403,,332.697,-2.672,0.45,0.042,7.8,9.6,,0.409,12,RMJ221047.8-024050.3,12,[RRB2014] RM J221047.8-024050.3,NED,332.6969909667969,-2.671999931335449
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19614,J22108+00112,,332.706,0.187,0.43,0.041,5.5,6.4,,1e+20,,,,,NED,332.70599365234375,0.18700000643730164
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19615,J22108+01505,,332.718,1.843,1.57,0.075,5.5,7.1,,1e+20,,,,,NED,332.7179870605469,1.843000054359436
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19616,J22109-03349,,332.728,-3.582,0.47,0.043,5.3,6.1,,1e+20,,,,,NED,332.7279968261719,-3.5820000171661377
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19617,J22110-02203,,332.758,-2.339,0.69,0.049,6.0,7.0,,1e+20,,,,,NED,332.75799560546875,-2.3389999866485596
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19618,J22110+00164,,332.76,0.273,0.46,0.042,5.1,5.9,,1e+20,,,,,NED,332.760009765625,0.27300000190734863
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19619,J22110+00267,,332.766,0.446,0.33,0.039,7.5,8.9,,0.324,12,RMJ221058.9+002630.2,12,[RRB2014] RM J221058.9+002630.2,NED,332.7659912109375,0.44600000977516174
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19620,J22110+04507,,332.771,4.846,0.41,0.041,8.8,11.0,,0.405,12,RMJ221105.6+045042.5,"12,14",[RRB2014] RM J221105.6+045042.5,NED,332.77099609375,4.8460001945495605
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19621,J22110+01551,,332.772,1.919,0.465,0.042,6.1,7.1,,0.472,14,HSCJ221106+015616,14,HSCS J221106+015616,NED,332.7720031738281,1.9190000295639038
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19622,J22110+03295,,332.772,3.492,0.32,0.038,5.9,6.8,,1e+20,,,,,NED,332.7720031738281,3.492000102996826
