catalog,vizier_source,vizier_table,recno,Zwicky,RA1950,DE1950,Type,GalCnt,Diam,DistGroup,GLON,GLAT,RLamb,XLamb,YLamb,SGLON,SGLAT,ClusRad,ClusArea,Pop,_RA.icrs,_DE.icrs,RA_deg,Dec_deg
zwicky,VII/4A/zwicky,VII/4A/zwicky,543,543,01 45.0,+19 48,3,45,0.6,5,140.52,-40.89,-0.8311,0.5284,-0.6415,319.44,-6.51,0.06,0.01,4574,01 47 44.6,+20 02 56,26.935833333333328,20.04888888888889
zwicky,VII/4A/zwicky,VII/4A/zwicky,544,544,01 45.1,-02 18,1,136,2.7,5,153.54,-61.54,-0.4917,0.2191,-0.4402,298.04,-13.22,0.25,0.199,682,01 47 38.6,-02 03 04,26.91083333333333,-2.051111111111111
zwicky,VII/4A/zwicky,VII/4A/zwicky,545,545,01 45.2,+00 02,2,109,2.7,5,151.51,-59.43,-0.5273,0.2515,-0.4634,300.36,-12.61,0.25,0.199,547,01 47 45.8,+00 16 56,26.94083333333333,0.2822222222222222
zwicky,VII/4A/zwicky,VII/4A/zwicky,546,546,01 45.2,+21 46,1,104,2.2,5,139.86,-38.99,-0.8612,0.5551,-0.6584,321.32,-5.9,0.21,0.132,786,01 47 57.8,+22 00 56,26.990833333333327,22.015555555555554
zwicky,VII/4A/zwicky,VII/4A/zwicky,547,547,01 45.2,+29 02,1,71,1.4,5,137.49,-31.98,-0.9699,0.6553,-0.715,328.19,-3.44,0.13,0.054,1325,01 48 02.5,+29 16 56,27.010416666666664,29.28222222222222
zwicky,VII/4A/zwicky,VII/4A/zwicky,548,548,01 45.8,+47 40,1,265,16.7,1,132.8,-13.85,-1.2333,0.905,-0.8379,345.71,2.9,1.56,7.621,34,01 48 55.0,+47 54 54,27.229166666666664,47.915
zwicky,VII/4A/zwicky,VII/4A/zwicky,549,549,01 46.0,+13 47,2,119,2.4,3,143.35,-46.56,-0.7402,0.4419,-0.5938,313.77,-8.69,0.22,0.157,756,01 48 41.2,+14 01 54,27.171666666666663,14.031666666666668
zwicky,VII/4A/zwicky,VII/4A/zwicky,550,550,01 46.0,+22 46,2,93,2.1,5,139.74,-37.98,-0.8771,0.5669,-0.6693,322.33,-5.75,0.2,0.121,771,01 48 46.5,+23 00 54,27.193749999999998,23.015
zwicky,VII/4A/zwicky,VII/4A/zwicky,551,551,01 46.8,-00 35,3,31,0.4,5,152.75,-59.81,-0.5208,0.2385,-0.463,299.86,-13.16,0.04,0.004,7090,01 49 21.5,-00 20 07,27.33958333333333,-0.3352777777777778
zwicky,VII/4A/zwicky,VII/4A/zwicky,552,552,01 46.8,+13 25,2,54,2.0,5,143.79,-46.84,-0.7355,0.4346,-0.5934,313.49,-8.99,0.19,0.109,494,01 49 29.1,+13 39 53,27.37125,13.664722222222222
zwicky,VII/4A/zwicky,VII/4A/zwicky,553,553,01 47.3,+08 03,1,113,7.4,2,146.79,-51.84,-0.6537,0.3581,-0.5469,308.35,-10.78,0.69,1.496,75,01 49 56.1,+08 17 52,27.483749999999997,8.297777777777778
