catalog,vizier_source,vizier_table,recno,Index,Name,GLON,GLAT,RAJ2000,DEJ2000,e_pos,SNR,Pipeline,PipeDet,PCCS2,PSZ,f_IR,q_neural,Y5R500,e_Y5R500,Val,zID,z,MSZ,E_MSZ,e_MSZ,MCXC,RedMAPPer,ACT,SPT,f_WISE,AMIevi,COSMO,Comment,Simbad,RA_deg,Dec_deg
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,11,11,PSZ2 G003.21-76.04,3.2102391,-76.0471306,358.3512149,-33.2932444,5.274178,4.78953,2,10,0,999999,0,0.837636,1.03584,0.384556,-1,,-1.0,1e+20,1e+20,1e+20,,,,,1,-1000.0,0,,Simbad,358.3512149,-33.2932444
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,12,12,PSZ2 G003.91-42.03,3.914657,-42.0359632,316.4675077,-38.7531602,2.428906,9.33304,1,111,0,11,0,0.993977,5.358175,1.110779,21,RXCJ2106.0-3846,0.1521,4.716204,0.321887,0.370266,J2106.0-3846,,,,-10,-1000.0,1,,Simbad,316.4675077,-38.7531602
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,13,13,PSZ2 G003.93-59.41,3.9317275,-59.4110211,338.6080936,-37.7413184,2.428905,17.35802,1,111,0,10,0,0.996898,5.662852,0.719787,21,RXCJ2234.5-3744,0.151,7.194754,0.263986,0.259055,J2234.5-3744,,,,-10,-1000.0,1,,Simbad,338.6080936,-37.7413184
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,14,14,PSZ2 G004.04+42.23,4.0463876,42.2369584,233.2733365,-0.6754162,5.28262,4.75789,2,10,0,999999,0,0.926048,3.209195,1.791173,24,RMJ153303.5-004616.5,0.151272,3.592052,0.465211,0.500454,,RMJ153303.5-004616.5,,,-10,-1000.0,0,,Simbad,233.2733365,-0.6754162
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,15,15,PSZ2 G004.13+56.81,4.1342542,56.8167246,221.8651319,8.4516901,3.396793,6.75999,2,111,0,12,0,0.984064,3.088549,0.930312,20,RXC J1447.4+0827,0.38,7.122818,0.643275,0.678634,J1447.4+0827,RMJ144728.1+082859.9,,,3,-1000.0,1,,Simbad,221.8651319,8.4516901
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,16,16,PSZ2 G004.45-19.55,4.4519807,-19.5561279,289.2667301,-33.5415664,2.428597,9.06547,1,111,1,14,0,0.985599,1.963852,0.36027,20,,0.54,10.356931,0.677135,0.724367,,,,,-3,-1000.0,1,"Point sources at: 353GHz,",Simbad,289.2667301,-33.5415664
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,17,17,PSZ2 G005.91-28.26,5.9148068,-28.2698851,299.8068699,-34.8917777,2.064811,5.98316,3,111,0,15,0,0.997078,2.291449,0.889302,21,RXCJ1959.1-3454,0.1728,4.286492,0.387097,0.416893,J1959.1-3454,,,,-10,-1000.0,0,,Simbad,299.8068699,-34.8917777
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,18,18,PSZ2 G006.05+29.43,6.050147,29.4313373,244.4061203,-7.2624651,3.458767,5.09372,2,10,0,16,0,0.935909,1.785471,0.742856,20,RXC J1617.6-0714,0.2523,5.515037,0.647036,0.714597,,,,,-10,-1000.0,0,,Simbad,244.4061203,-7.2624651
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,19,19,PSZ2 G006.16-69.49,6.1652096,-69.496747,350.5375195,-34.5752135,4.461128,4.5534,2,10,0,999999,0,0.92553,1.331902,0.683665,-1,,-1.0,1e+20,1e+20,1e+20,,,,,0,-1000.0,0,,Simbad,350.5375195,-34.5752135
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,20,20,PSZ2 G006.38+62.03,6.387324,62.0323472,218.3080283,12.4862713,2.428863,5.65158,1,101,0,999999,0,0.989402,1.360977,0.424082,24,RMJ143312.4+122756.8,0.235712,4.813953,0.554516,0.572437,,RMJ143312.4+122756.8,,,-10,-1000.0,0,,Simbad,218.3080283,12.4862713
