catalog,vizier_source,vizier_table,recno,XLSSC,RAJ2000,DEJ2000,z,Ngal,Class,Mgas500kpc,E_Mgas500kpc,e_Mgas500kpc,r500MT,T300kpc,E_T300kpc,e_T300kpc,LXXL500MT,e_LXXL500MT,F60,e_F60,Flags,RA_deg,Dec_deg
xxl,IX/52/xxl365gc,IX/52/xxl365gc,113,44,36.141,-4.236,0.263,19,1,31.62,0.87,1.07,499,1.21,0.11,0.14,3.5,0.47,14,2,+*l,36.14099884033203,-4.236000061035156
xxl,IX/52/xxl365gc,IX/52/xxl365gc,114,182,36.227,-3.478,0.174,1,2,1e+20,1e+20,1e+20,730,0.97,0.13,0.15,1.25,0.2,11,4,,36.22700119018555,-3.4779999256134033
xxl,IX/52/xxl365gc,IX/52/xxl365gc,115,21,36.233,-5.134,0.085,11,1,5.77,0.63,0.52,430,0.79,0.06,0.06,0.73,0.08,22,2,+l,36.233001708984375,-5.133999824523926
xxl,IX/52/xxl365gc,IX/52/xxl365gc,116,1,36.238,-3.817,0.614,17,1,125.05,4.95,3.72,763,3.69,0.21,0.25,94.98,5.65,64,4,+l,36.237998962402344,-3.816999912261963
xxl,IX/52/xxl365gc,IX/52/xxl365gc,117,140,36.303,-5.524,0.294,2,2,17.51,2.73,4.23,872,1.44,0.21,0.17,6.41,0.99,10,2,,36.303001403808594,-5.52400016784668
xxl,IX/52/xxl365gc,IX/52/xxl365gc,118,54,36.319,-5.887,0.054,29,1,23.6,0.73,0.94,632,1.54,0.09,0.08,3.32,0.22,78,7,+l,36.319000244140625,-5.88700008392334
xxl,IX/52/xxl365gc,IX/52/xxl365gc,119,8,36.336,-3.801,0.299,13,1,21.92,3.57,4.19,564,1.56,0.12,0.1,1.69,0.11,14,3,+l,36.33599853515625,-3.8010001182556152
xxl,IX/52/xxl365gc,IX/52/xxl365gc,120,25,36.353,-4.68,0.265,13,1,49.79,1.26,1.21,700,2.23,0.24,0.18,21.77,1.78,66,3,+l,36.35300064086914,-4.679999828338623
xxl,IX/52/xxl365gc,IX/52/xxl365gc,121,181,36.376,-3.817,0.371,2,2,1e+20,1e+20,1e+20,726,1.09,0.08,0.08,0.43,0.03,4,6,,36.375999450683594,-3.816999912261963
xxl,IX/52/xxl365gc,IX/52/xxl365gc,122,41,36.378,-4.239,0.142,16,1,41.04,0.98,1.04,636,1.68,0.22,0.08,11.72,1.02,125,7,+*l,36.37799835205078,-4.238999843597412
xxl,IX/52/xxl365gc,IX/52/xxl365gc,123,2,36.384,-3.92,0.771,9,1,75.1,6.04,6.48,560,2.5,0.18,0.19,69.11,4.37,25,3,+l,36.38399887084961,-3.9200000762939453
xxl,IX/52/xxl365gc,IX/52/xxl365gc,124,185,36.387,-5.539,0.566,3,2,1e+20,1e+20,1e+20,16959,1e+20,1e+20,1e+20,1e+20,1e+20,7,3,,36.387001037597656,-5.539000034332275
xxl,IX/52/xxl365gc,IX/52/xxl365gc,125,50,36.421,-3.189,0.14,16,1,77.78,1.71,1.77,891,3.07,0.26,0.25,27.24,1.32,98,4,+l,36.42100143432617,-3.188999891281128
xxl,IX/52/xxl365gc,IX/52/xxl365gc,126,55,36.454,-5.896,0.232,14,1,60.85,1.43,1.49,863,3.15,0.32,0.51,26.62,1.82,78,5,+l,36.45399856567383,-5.895999908447266
