catalog,vizier_source,vizier_table,recno,Name,RAJ2000,DEJ2000,Sep,Photz,E_Photz,e_Photz,Rich,e_Rich,RA_deg,Dec_deg
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1391,MOO J1539+4528,15 39 22.32,+45 28 37.3,3,1.02,0.07,0.07,30,6,234.843,45.47702777777778
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1392,MOO J1539+4509,15 39 38.36,+45 09 02.4,36,1.31,0.05,0.08,32,5,234.9098333333333,45.150666666666666
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1393,MOO J1539+3058,15 39 51.89,+30 59 08.3,46,1e+20,1e+20,1e+20,16959,63,234.9662083333333,30.98563888888889
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1394,MOO J1540+0007,15 40 18.18,+00 07 56.7,13,1.02,0.09,0.08,11,4,235.07575,0.1324166666666666
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1395,MOO J1540+0253,15 40 43.60,+02 53 30.9,26,1.52,0.23,0.1,14,4,235.18166666666664,2.8919166666666665
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1396,MOO J1540+0253,15 40 43.60,+02 53 30.9,26,1.52,0.23,0.1,14,4,235.18166666666664,2.8919166666666665
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1397,MOO J1540+0253,15 40 43.60,+02 53 30.9,26,1.52,0.23,0.1,14,4,235.18166666666664,2.8919166666666665
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1398,MOO J1540+0253,15 40 43.60,+02 53 30.9,26,1.52,0.23,0.1,14,4,235.18166666666664,2.8919166666666665
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1399,MOO J1542-0721,15 42 42.81,-07 22 11.4,18,0.9,0.06,0.05,30,6,235.678375,-7.369833333333333
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1400,MOO J1543+6004,15 43 15.83,+60 03 43.3,20,1.01,0.03,0.04,32,6,235.8159583333333,60.06202777777777
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1401,MOO J1543-0346,15 43 47.06,-03 46 08.8,23,1.28,0.06,0.09,21,4,235.9460833333333,-3.769111111111111
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1402,MOO J1543-0346,15 43 47.06,-03 46 08.8,23,1.28,0.06,0.09,21,4,235.9460833333333,-3.769111111111111
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1403,MOO J1544+4536,15 44 43.69,+45 36 17.5,3,0.97,0.08,0.08,20,5,236.18204166666663,45.60486111111111
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1404,MOO J1546-1127,15 46 11.13,-11 27 32.3,12,1.12,0.09,0.09,29,6,236.546375,-11.458972222222222
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1405,MOO J1546+1804,15 46 12.66,+18 04 45.7,9,1.12,0.06,0.07,33,6,236.55275,18.079361111111112
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1406,MOO J1546+4124,15 46 24.20,+41 24 22.9,14,1.1,0.07,0.06,25,5,236.60083333333333,41.40636111111111
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1407,MOO J1547+4131,15 47 35.70,+41 32 13.3,19,1.14,0.12,0.1,22,5,236.89875,41.53702777777777
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1408,MOO J1547+4131,15 47 35.70,+41 32 13.3,19,1.14,0.12,0.1,22,5,236.89875,41.53702777777777
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1409,MOO J1551+6245,15 51 43.57,+62 45 21.2,25,1.21,0.06,0.07,44,6,237.93154166666665,62.75588888888889
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1410,MOO J1551+6245,15 51 43.57,+62 45 21.2,25,1.21,0.06,0.07,44,6,237.93154166666665,62.75588888888889
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1411,MOO J1551+6245,15 51 43.57,+62 45 21.2,25,1.21,0.06,0.07,44,6,237.93154166666665,62.75588888888889
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1412,MOO J1554-0447,15 54 14.40,-04 46 51.0,32,1.05,0.06,0.06,81,9,238.56,-4.780833333333334
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1413,MOO J1554-0717,15 54 42.81,-07 17 47.5,12,0.96,0.06,0.07,37,6,238.678375,-7.2965277777777775
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1414,MOO J1555+3259,15 55 24.44,+32 59 27.5,13,0.98,0.07,0.07,24,5,238.85183333333327,32.990972222222226
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1415,MOO J1555+2002,15 55 48.70,+20 02 29.0,24,1.08,0.14,0.13,25,5,238.95291666666665,20.04138888888889
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1416,MOO J1556+5902,15 56 14.44,+59 02 17.9,8,1.17,0.12,0.1,22,5,239.06016666666665,59.03830555555555
